Sample_ID,Variety,Soil_pH,N (Nitrogen),P (Phosphorus),K (Potassium),Organic_Matter (kg compost),Temperature (°C),Rainfall (mm),Elevation (m),Soil_Type,Beneficial_Microbes (CFU/g),Harmful_Microbes (CFU/g),Microbial_Activity,Soil_Organic_Carbon,Microbial_Biomass_C (g/kg),Soil_Enzyme_Activity,Disease (Yes/No),Disease_Name,Nutrient_Deficiency,Weather_Condition,Crop_Yield (kg/palm)
1,SK Local,6.1,118,57,155,12.8,25,1812,813,Red loam,1.9 x 10^7,0,High,2.0%,307,High,No,None,None,Humid,3.84
2,SK Local,5.2,128,60,124,14.1,26,1307,807,Laterite,1.1 x 10^7,1.5 x 10^5,Low,1.3%,292,High,No,None,Nitrogen,Humid,1.34
3,SK Local,6.1,120,55,155,14.2,28,1515,804,Red loam,1.7 x 10^7,0,High,1.8%,337,High,No,None,None,Humid,3.22
4,Sumangala,6.4,104,54,159,14.0,24,1945,836,Laterite,1.7 x 10^7,0,High,1.8%,324,High,No,None,None,Humid,4.66
5,Mangala,5.0,108,44,120,13.1,28,2245,561,Laterite,1.1 x 10^7,2.0 x 10^5,Moderate,1.5%,327,Low,Yes,Spindle Bug,None,Dry,1.5
6,Mangala,6.3,110,59,120,14.9,29,2194,988,Alluvial,1.3 x 10^7,1.6 x 10^5,Low,1.9%,329,Low,Yes,Spindle Bug,Potassium,Humid,1.75
7,SK Local,5.6,100,56,144,14.5,26,1980,796,Laterite,1.5 x 10^7,0,High,1.9%,336,High,No,None,None,Humid,2.85
8,SK Local,5.5,117,59,157,12.3,22,2099,743,Laterite,1.5 x 10^7,2.9 x 10^5,High,1.3%,313,Moderate,Yes,Spindle Bug,None,Humid,2.11
9,Sumangala,5.7,108,60,146,12.9,24,1771,776,Red loam,1.5 x 10^7,0,High,1.8%,334,High,No,None,None,Dry,4.4
10,Mangala,6.4,108,57,141,13.6,24,1635,683,Red loam,1.5 x 10^7,0,High,2.0%,339,High,No,None,None,Dry,3.53
11,SK Local,5.7,112,54,149,13.1,28,1710,929,Alluvial,1.7 x 10^7,0,High,1.9%,333,High,No,None,None,Dry,3.67
